data_name,data_name_kr,acronym,dtype,category,org,access,spatial,temporal,temporal_res,volume,instruments,params,fmt,usage,availability,notes,freq,reuse,priority,report_list
National Water Resources Management Information System (WAMIS),국가수자원관리종합정보시스템 (WAMIS),WAMIS,DB_system,hydrological,Ministry of Environment (환경부),public_portal,national (대한민국 전역),2016 (referenced),annual,전국 행정구역 및 수자원권역별 데이터,Web Portal,"농업용수 이용량, 수계별 용수 사용 현황",digital,전국 농업용수 사용률 및 지역별 용수 사용 비율 기초 통계 분석용,open,WAMIS 농업용수 이용량은 실제 계측치가 아닌 수요량 산정법에 따른 결과값임,13,High,Immediate,"__AR6 SSP 기후변화 시나리오 기반 다목적댐 홍수방어기준 개선 연구.pdf.pdf | 기장 해수담수화시설 활용방안 연구_2024.02.13_기장 해수담수화시설 활용방안 연구.pdf.pdf | 농업용수 산정방법 개선을 통한 효율적 활용 방안 연구_2021.02.10_농업용수 산정방법 개선.pdf.pdf | 댐 예비방류 가이드라인 수립을 위한 연구_2023.02.13_댐 예비방류 가이드라인 수립을 위한 연구.pdf.pdf | 댐 유역(영천·대곡·사연댐) 물환경관리 종합대책 수립 연구_2021.02.05_댐 유역 물환경관리 종합대책.pdf.pdf | 댐 유역(영천·대곡·사연댐) 물환경관리 종합대책 수립 연구_2022.02.14_댐유역 물환경관리.pdf.pdf | 댐 탁수 저감대책의 효과평가 및 기후변화를 고려한 저감기법 개발_2023.02.13_댐 탁수 저감대책 효과평가 및 기후변화를 고려한 저감기법 개발.pdf.pdf | 도시물순환 수문요소 탄소저감 평가 기술 개발_2024.02.13_도시물순환 수문요소 탄소저감 평가 기술 개발.pdf.pdf | 물정보기반 물수급 체계 구축 및 수문전망 기술 (한강·영섬권역)_2021.02.10_물정보기반 물수급 체계.pdf.pdf | 미계측 하천 취수지점의 가뭄판단 및 예측을 위한 분석체계 구축_2021.02.08_하천수 취수지점의 가뭄평가.pdf.pdf | 수질을 고려한 대청댐 운영 고도화 방안 시범 연구_2022.02.14_대청댐 운영고도화.pdf.pdf | 아르헨티나 필코마요강 유역의 수자원관리 투자 계획 수립_2024.02.13_아르헨티나 필코마요강 유역의 수자원관리 투자 계획 수립.pdf.pdf | 영산강, 섬진강, 제주권 자연성 회복 구상(안) 마련을 위한 연구용역_2022.02.14_자연성회복.pdf.pdf"
KMA Meteorological Data,기상청 기상관측 데이터,KMA data / KMA Data,meteorological,rainfall,Korea Meteorological Administration (기상청),public_portal,"금강유역 (장수, 진안 등)",2010–2024,"daily, hourly","진안, 장수 등 다수 기상관측소",ASOS/AWS,"강수량, 온도, 상대습도, 기압, 풍속",digital,용담댐 상류 강수량 전처리 및 AI 모델 학습 데이터셋 구성에 활용,open,K-water 데이터와 병행하여 유역 평균 강수량 산정에 활용됨,8,High,Immediate,AI를 활용한 실시간 댐 홍수분석기술 개발(금강유역)_2025.02.10_AI를 활용한 실시간 댐 홍수분석기술 개발(금강유역).pdf.pdf | 기후 스트레스 테스트 기반 댐 취약성 평가 연구_2023.02.13_기후 스트레스 테스트 기반 댐 취약성 평가 연구.pdf.pdf | 낙동강하구 복원을 위한 생지화학적 특성 규명 및 해석 연구_2024.02.13_낙동강하구 복원을 위한 생지화학적 특성 규명 및 해석 연구.pdf.pdf | 다목적댐 방류량별 하류하천 도달시간 산정에 관한 연구_2025.02.11_다목적댐 방류량별 하류하천 도달시간 산정에 관한 연구.pdf.pdf | 대심도 수로터널을 통한 新 용수공급체계 도입방안 연구용역_2025.02.10_대심도 수로터널을 통한 新 용수공급체계 도입방안 연구용역.pdf.pdf | 댐 예비방류 가이드라인 수립을 위한 연구_2023.02.13_댐 예비방류 가이드라인 수립을 위한 연구.pdf.pdf | 댐 유역(영천·대곡·사연댐) 물환경관리 종합대책 수립 연구_2022.02.14_댐유역 물환경관리.pdf.pdf | 댐 탁수 저감대책의 효과평가 및 기후변화를 고려한 저감기법 개발_2023.02.13_댐 탁수 저감대책 효과평가 및 기후변화를 고려한 저감기법 개발.pdf.pdf
Real-time Water Information System,실시간수도정보시스템,RWIS,DB_system,water_level,K-water,internal_DB,"팔당취수장, 롯데타워 분기점 등 수도권 광역상수도 구간",최근 10년 (2010~2019),Real-time,"팔당 1, 2, 3 취수장 및 주요 관로 데이터",자동 수온 계측기,"수온, 유량 (순시유량)",Digital database,수열에너지 활용 전후의 원수 수온 변화 모니터링 및 모델링 검증용 기초 자료로 활용,internal_only,"팔당2취수장의 수온 데이터가 실시간으로 저장되며, 롯데타워 분기 유입/유출 유량계 값 포함",7,High,Immediate,광역상수도 프로세스 디지털 트윈 시스템 개발(Ⅰ) 취수-정수(alio).pdf | 국토관측센서 기반 수문 및 수재해 정보포털시스템 개발_2020.02.27_국토관측센서기.pdf.pdf | 물공급 예비율 활용을 위한 수질영향 분석 연구_2020.02.27_물공급예비율활용.pdf.pdf | 물정보기반 물수급 체계 구축 및 수문전망 기술 (한강·영섬권역)_2021.02.10_물정보기반 물수급 체계.pdf.pdf | 수리특성을 고려한 자료기반 인공지능 녹조수질 예측모형 개발_2026.02.10_수리특성을 고려한 인공지능 녹조수질 예측 모형 개발(alio).pdf.pdf | 수열에너지 활용에 따른 수처리 효율 및 도송수에 미치는 영향 평가_2020.02.27_수열에너지활용.pdf.pdf | 시범도입 단계의 분산된 스마트미터 데이터 분석을 통한 수량관리 고도화 연구_2025.02.10_시범도입 단계의 분산된 스마트미터 데이터 분석을 통한 수량관리 고도화 연구.pdf.pdf
Water Environment Information System (WEIS),물환경정보시스템,WEIS,DB_system,water_quality,국립환경과학원,public_portal,"금강 수계 (이원, 지천2, 용포 측정소), 용담호 유역","2002–2018 (용담), 2023–2024 (금강)",monthly,Not in source,휴대용 수질측정기 등,"pH, DO, 전기전도도(CON), BOD, COD, SS, T-N, T-P, TOC, Chl-a",CSV/Digital data,복원대상지의 이화학적 서식환경 분석 및 용담 유역 수질 현황 분석,open,국가 수질측정망 자료 활용,6,High,Immediate,__금강수계 생명잇기를 위한 멸종위기어류 복원 용역(3차년도).pdf.pdf | 댐 유역(영천·대곡·사연댐) 물환경관리 종합대책 수립 연구_2022.02.14_댐유역 물환경관리.pdf.pdf | 물공급 예비율 활용을 위한 수질영향 분석 연구_2020.02.27_물공급예비율활용.pdf.pdf | 보현산댐 고현천 하천환경조사 및 건강성 제고방안 연구_2021.02.10_보현산댐 고현천 하천환경조사.pdf.pdf | 수자원공사 보고서_2. extracted_metadata.csv | 용담댐 유역 비점오염 저감시설 설치 및 관리방안 연구_2020.02.27_용담댐유역비점.pdf.pdf
Automatic Weather Observational System (ASOS),종관기상관측,ASOS,meteorological,weather,Korea Meteorological Administration,public_portal,"Sunchang, Imsil, Jangsu, Jeonju, Jeongeup",2014-2023,daily,5 stations,ASOS equipment,"temperature, wind speed, rainfall, relative humidity, sunshine duration",Not in source,Used for watershed baseline investigation and calibration of the HSPF watershed model.,open,Used for Thiessen Polygon analysis of the Okjeong Reservoir watershed.,4,Medium,Planned,__AR6 SSP 기후변화 시나리오 기반 다목적댐 홍수방어기준 개선 연구.pdf.pdf | 물공급 예비율 활용을 위한 수질영향 분석 연구_2020.02.27_물공급예비율활용.pdf.pdf | 수리특성을 고려한 자료기반 인공지능 녹조수질 예측모형 개발_2026.02.10_수리특성을 고려한 인공지능 녹조수질 예측 모형 개발(alio).pdf.pdf | 옥정호 녹조발생 원인조사 및 대책연구_2026.02.10_옥정호 녹조발생 원인조사 및 대책 연구.pdf.pdf
K-water Risk Management System,전사적 리스크관리 시스템,KRM,DB_system,어류폐사 사고 이력 및 위기관리,한국수자원공사,internal_DB,"한국수자원공사 관리 유역(댐, 보 등)",1999–2023,이벤트 기반(사고 발생 시),총 93건 (어류폐사 사고 이력 기준),내부 업무망/외부망 접속 시스템,"사고 일시, 위치, 어류폐사 원인, 어종, 규모, 기상상태, 피해내용",디지털 DB,"과거 어류폐사 사례 분석 및 발생 특성(원인별, 시기별, 수계별) 파악의 핵심 자료로 활용",internal_only,한국수자원공사 내부 전용 리스크 관리 시스템으로 외부 접근 제한됨,3,Medium,Planned,광역상수도 중대규모 관로사고 감시시스템 개발_2021.02.05_광역상수도 중대규모 관로사고.pdf.pdf | 물공급 예비율 활용을 위한 수질영향 분석 연구_2020.02.27_물공급예비율활용.pdf.pdf | 어류폐사 원인규명 조사·분석체계 구축방안 연구_2025.02.10_어류폐사 원인규명 조사·분석체계 구축방안 연구.pdf.pdf
Integrated Water Resources Management System,군 홍수조절 연계운영 시스템,COSFIM,DB_system,hydrological,K-water (한국수자원공사),internal_DB,"섬진강, 금강, 한강, 낙동강 수계",2007–2023,10-min,전국 4대강 다목적댐 및 하천 수위 관측소 자료,"부자식, 압력식, 레이더식 수위계","댐 방류량, 하천 수위, 강우량",digital,"방류량별 하류하천 도달시간 산정 및 수치해석 모형(HEC-RAS, FLDWAV) 구축을 위한 기초 자료로 활용",internal_only,홍수통제소 자료와 Cross-check를 통해 품질 관리된 자료를 사용하며 결측치는 선형 보간 처리됨,2,Medium,Planned,다목적댐 방류량별 하류하천 도달시간 산정에 관한 연구_2025.02.11_다목적댐 방류량별 하류하천 도달시간 산정에 관한 연구.pdf.pdf | 댐 예비방류 가이드라인 수립을 위한 연구_2023.02.13_댐 예비방류 가이드라인 수립을 위한 연구.pdf.pdf
Standardized Precipitation Index,표준강수지수,SPI,meteorological,rainfall,기상청,public_portal,"전국 (유천, 송탄, 청산, 영월, 영동, 하동, 고령, 덕송 등)",2000–2019,daily,55개 지점 이상,"ASOS, AWS",강수량,CSV (Inferred),"기상학적 가뭄 분석 및 지하수위와의 상관성 분석, 다변량 가뭄지수(MSDI) 개발의 입력 자료",open,"지속기간(30, 60, 90, 120, 180, 270, 360일)별로 산정하여 가뭄 상황 판단에 활용",2,Medium,Planned,미계측 하천 취수지점의 가뭄판단 및 예측을 위한 분석체계 구축_2021.02.08_하천수 취수지점의 가뭄평가.pdf.pdf | 수자원분야 위성영상 활용 기술개발_2021.02.08_수자원분야 위성영상 활용기술.pdf.pdf
Smart Water Metering Data,스마트미터 데이터,SWM,field_measurement,water_use,K-water and 11 Local Governments,internal_DB,"11 Local Municipalities (G-si, N-si, D-si, etc.)",2023.01–2023.12,hourly,"330 DMAs, approx. 15,000 meters","Smart Water Meter, AMI infrastructure",hourly water consumption (m3/hr),CSV,Core data used for developing night flow prediction models and analyzing water usage patterns.,internal_only,Collected from 11 municipalities including Busan EDC; requires data cleaning for missing or erroneous values.,2,Medium,Planned,수자원공사 보고서_2. extracted_metadata.csv | 시범도입 단계의 분산된 스마트미터 데이터 분석을 통한 수량관리 고도화 연구_2025.02.10_시범도입 단계의 분산된 스마트미터 데이터 분석을 통한 수량관리 고도화 연구.pdf.pdf
Water Resources Management Information System,물정보포털,MyWater,DB_system,hydrological,K-water (한국수자원공사),public_portal,National (전국),Past to present (과거~현재),"Daily, Monthly","전국 댐, 하천, 저수지 수문 데이터",Not in source,"강수량, 유입량, 방류량, 저수량, 수위","CSV, Excel, GIS","지역수자원관리체계 구축, 댐 유지관리비 분석, 가뭄 예경보 분석 등 다수 연구의 기초 수문자료로 활용",open,K-water에서 운영하는 대한민국 대표 물정보 포털,2,Medium,Planned,수자원공사 보고서_2. extracted_metadata.csv | 용담댐 유역 비점오염 저감시설 설치 및 관리방안 연구_2020.02.27_용담댐유역비점.pdf.pdf
