Data_name,Data_name_kr,Acronym,Data_type,Data_category,Source_organization,Access_method,Portal_or_system_url,Spatial_coverage,Spatial_resolution,Temporal_coverage,Temporal_resolution,Data_volume_or_scale,Collection_method,Instruments_or_tools,Data_format,Parameters_measured,Usage_in_study,Data_availability,Notes,Source
EnPI Tool (Energy Performance Indicator Tool),에너지성과지표 분석 도구,EnPI,model_output,energy_efficiency,한국에너지공단 (KEA) / 미국 에너지부 (DOE),other,에너지경영시스템 (EnMS),전국 수도사업장,사업장 단위,2018–2022 (시범평가 기준),연간 개선율 (연속 12개월 이상 데이터),회귀분석 모델 15개 시나리오 검토,model simulation,EnPI Tool v5.0 (Excel 기반),Excel,"예상 에너지 사용량 대비 실제 에너지 사용량, 에너지 절감률, 결정계수(R2)",사업장의 과거 성과 대비 현재 성과(자기평가)를 정량적으로 지표화하고 등급을 산출하는 핵심 툴로 사용,open,"ISO 50001 계량평가 방식 기반, 펌프장 및 펌프식 정수장에 적용",1
LMDI Factor Decomposition Analysis Data,LMDI 요인분해분석 데이터,LMDI,statistical_analysis,energy_drivers,K-water (화성정수장 시범),model_generated,LMDI 엑셀 계산기,화성정수장,"공정별 (착수, 응집침전, 여과, 송수 등)",2018–2022 (가상 데이터 포함),연간,8개 공정별 분해 분석,model simulation,Log Mean Divisia Index (LMDI) Ⅰ,Excel,"생산효과(활동수준), 구조효과(활동구조), 원단위효과(에너지집약도), 소비량 증감","에너지 사용량 변화 원인을 생산활동, 공정 비중, 효율 개선 요인으로 분해하여 실질적 효율 변화를 파악하기 위해 사용",restricted,공정별 유량 및 전력사용량 데이터가 필수적이며 EMS 구축 사업장에 적합함,1
Integrated Water Resources Management System,군 홍수조절 연계운영 시스템,COSFIM,DB_system,hydrological,K-water (한국수자원공사),internal_DB,COSFIM,"섬진강, 금강, 한강, 낙동강 수계",지점 단위 (측정소),2007–2023,10-min,전국 4대강 다목적댐 및 하천 수위 관측소 자료,automatic sensor,"부자식, 압력식, 레이더식 수위계",digital,"댐 방류량, 하천 수위, 강우량","방류량별 하류하천 도달시간 산정 및 수치해석 모형(HEC-RAS, FLDWAV) 구축을 위한 기초 자료로 활용",internal_only,홍수통제소 자료와 Cross-check를 통해 품질 관리된 자료를 사용하며 결측치는 선형 보간 처리됨,2
Ministry of Environment Water Level Data,환경부 수위 관측 자료,WAMIS (inferred),hydrological,water level,환경부 (홍수통제소),public_portal,수계별 홍수통제소,"전국 주요 하천 (일중리, 곡교, 예성교 등)",point measurement,2010–2023,10-min,수십 개 하천 수위 관측소,automatic sensor,TM (Tele-Monitoring) 수위계,digital,하천 수위 (EL.m),댐 방류에 따른 하류 지점별 수위 변동 및 도달시간 검증용 자료,open,K-water 자료와 교차 검증하여 신뢰성 확보,2
Dam Outflow History Data,댐 수문방류 이력 자료,Dam Outflow,hydrological,streamflow,K-water (한국수자원공사),internal_DB,COSFIM,"다목적댐 (소양강, 충주, 안동, 임하 등)",댐 지점,2007–2023,10-min,주요 댐별 수십 개 방류 사상,automatic sensor / gate log,Water level sensor / Gate opening sensor,CSV/Excel (inferred),"수문 방류량 (㎥/s), 총 방류량",방류량별 도달시간 상관계수 도출 및 AI 학습모형의 입력 변수로 사용,internal_only,수문방류 시 하류 수위계 수위 증가 경향이 뚜렷한 사상을 선별하여 분석,2
Real-time Water Information System,실시간수도정보시스템,RWIS,DB_system,water_level,K-water,internal_DB,RWIS (internal),"팔당취수장, 롯데타워 분기점 등 수도권 광역상수도 구간",Point measurement,최근 10년 (2010~2019),Real-time,"팔당 1, 2, 3 취수장 및 주요 관로 데이터",automatic sensor,자동 수온 계측기,Digital database,"수온, 유량 (순시유량)",수열에너지 활용 전후의 원수 수온 변화 모니터링 및 모델링 검증용 기초 자료로 활용,internal_only,"팔당2취수장의 수온 데이터가 실시간으로 저장되며, 롯데타워 분기 유입/유출 유량계 값 포함",3
Water Environment Information System,물환경정보시스템,NEIS,DB_system,water_quality,환경부 (국립환경과학원),public_portal,http://water.nier.go.kr,"영산강, 섬진강 대권역",Measurement point,2010~2020,"8-day interval (standard), Real-time (automatic)","수질측정망 1,936개소, 총량측정망 337개소 등",manual sampling/automatic sensor,"다항목수질측정기, 자동분석기",Digital database,"BOD, COD, TOC, T-N, T-P, SS, Chl-a, pH, DO, 수온",유역별 수질 현황 분석 및 상수원 목표 수질 달성 여부 검토,open,영산강 본류 수질 악화 구간(광주1~광주2) 분석 등에 사용,4
Jar-test Analysis Data,응집 실험(Jar-test) 분석 데이터,,lab_analysis,water_quality,K-water연구원,field_collection,,"대청취수장(청주권), 팔당취수장(수도권) 원수",Point,2019,Event-based,"수온 구간별(저온, 상온, 고온) 다수 샘플",manual sampling/lab experiment,"Jar tester (Phipps&Bird 7790-910), Turbidity meter, pH meter",CSV/Graph,"수온(6.2~37.5℃), 탁도(NTU), 응집제 주입률(ppm)",원수 수온 변화(수열에너지 활용 후 유입 가정)에 따른 응집 효율 및 탁도 제거율 평가,internal_only,고수온(31~37℃) 환경에서도 응집 효율이 유지됨을 실증,3
Hydroelectric generator vibration online monitoring system,수차발전기 진동 온라인 모니터링 시스템,CMS/System1,DB_system,Vibration data,K-water (Energy Diagnosis Center),internal_DB,"VM600, CMS System, System1 EVO","Soyang River, Chungju, Hapcheon, Daecheong, Imha, Yongdam, Juam Dam",Point measurement (Sensor-based),2022-2023,Continuous monitoring,7 hydroelectric power plants,"Automatic sensor (Proximity probe, Velocity, Accelerometer)","VIBRO-METER VM600, Bently Nevada 3500",Digital database,"Relative shaft vibration (Sp-p), Bearing housing vibration (Vrms), Cavitation (g's rms), Gap voltage",Used to establish vibration management criteria and analyze high vibration sections for AGC operation range adjustment.,internal_only,Internal K-water diagnostic data used for facility integrity assessment.,5
Standardized Precipitation Index,표준강수지수,SPI,meteorological,rainfall,기상청,public_portal,국가가뭄정보포털,"전국 (유천, 송탄, 청산, 영월, 영동, 하동, 고령, 덕송 등)",지점 관측 기반,2000–2019,daily,55개 지점 이상,automatic sensor,"ASOS, AWS",CSV (Inferred),강수량,"기상학적 가뭄 분석 및 지하수위와의 상관성 분석, 다변량 가뭄지수(MSDI) 개발의 입력 자료",open,"지속기간(30, 60, 90, 120, 180, 270, 360일)별로 산정하여 가뭄 상황 판단에 활용","6, 7"
