색인,참조
1,수도사업장 에너지 효율 혁신을 위한 진단 프로세스 고도화 방안 연구_2024.02.13_수도사업장 에너지 효율 혁신을 위한 진단 프로세스 고도화 방안 연구.pdf.pdf
2,다목적댐 방류량별 하류하천 도달시간 산정에 관한 연구_2025.02.11_다목적댐 방류량별 하류하천 도달시간 산정에 관한 연구.pdf.pdf
3,수열에너지 활용에 따른 수처리 효율 및 도송수에 미치는 영향 평가_2020.02.27_수열에너지활용.pdf.pdf
4,"영산강, 섬진강, 제주권 자연성 회복 구상(안) 마련을 위한 연구용역_2022.02.14_자연성회복.pdf.pdf"
5,K-water 대수력 프란시스 수차 진동발생 메커니즘 분석 및 개선 연구_2024.02.13_K-water 대수력 프란시스 수차 진동발생 메커니즘 분석 및 개선연구.pdf.pdf
6,미계측 하천 취수지점의 가뭄판단 및 예측을 위한 분석체계 구축_2021.02.08_하천수 취수지점의 가뭄평가.pdf.pdf
7,수자원분야 위성영상 활용 기술개발_2021.02.08_수자원분야 위성영상 활용기술.pdf.pdf
8,"실질적 아시아 물 문제 해결을 위하나 입법,정책적 접근방안 연구_2021.02.05_실질적 아시아 물문제 해결.pdf.pdf"
9,상수관망 에너지 최적 활용 및 분석 기술_2023.02.13_상수관망 에너지 최적 활용 및 분석 기술.pdf.pdf
10,도시물순환 수문요소 탄소저감 평가 기술 개발_2024.02.13_도시물순환 수문요소 탄소저감 평가 기술 개발.pdf.pdf
11,AI를 활용한 실시간 댐 홍수분석기술 개발(금강유역)_2025.02.10_AI를 활용한 실시간 댐 홍수분석기술 개발(금강유역).pdf.pdf
12,농업용수 산정방법 개선을 통한 효율적 활용 방안 연구_2021.02.10_농업용수 산정방법 개선.pdf.pdf
13,__디지털트윈 테스트베드 구축(alio).pdf.pdf
14,어류폐사 원인규명 조사·분석체계 구축방안 연구_2025.02.10_어류폐사 원인규명 조사·분석체계 구축방안 연구.pdf.pdf
15,실시간 스마트 모니터링 구축에 따른 신·구(新舊) 계측데이터 관리체계 연구_2023.02.13_실시간 스마트 모니터링 구축에 따른 신_구(新_舊) 계측데이터 관리체계 연구.pdf.pdf
16,__AR6 SSP 기후변화 시나리오 기반 다목적댐 홍수방어기준 개선 연구.pdf.pdf
17,시범도입 단계의 분산된 스마트미터 데이터 분석을 통한 수량관리 고도화 연구_2025.02.10_시범도입 단계의 분산된 스마트미터 데이터 분석을 통한 수량관리 고도화 연구.pdf.pdf
18,아르헨티나 필코마요강 유역의 수자원관리 투자 계획 수립_2024.02.13_아르헨티나 필코마요강 유역의 수자원관리 투자 계획 수립.pdf.pdf
19,고순도 공업용수 생산 통합 운영 디지털 플랫폼 국산화 기술 개발 (5차년도)(alio).pdf
20,아시아 개발도상국 물시장 진출을 위한 SWG 기술의 사업화 연계방안 연구_2020.02.27_아시아개발도상.pdf.pdf
21,광역상수도 프로세스 디지털 트윈 시스템 개발(Ⅰ) 취수-정수(alio).pdf
22,국토관측센서 기반 수문 및 수재해 정보포털시스템 개발_2020.02.27_국토관측센서기.pdf.pdf
23,수자원공사 보고서_2. extracted_metadata.csv
24,미래 물관리 여건을 고려한 광역·지방상수도 최적 운영·관리방안 연구_2021.02.10_미래물관리 최적운영.pdf.pdf
25,댐 탁수 저감대책의 효과평가 및 기후변화를 고려한 저감기법 개발_2023.02.13_댐 탁수 저감대책 효과평가 및 기후변화를 고려한 저감기법 개발.pdf.pdf
26,만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립_2024.02.13_만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립.pdf.pdf
27,상수도통계 개선 및 활용성 강화방안 연구_2023.02.13_상수도통계 개선 및 활용성 강화방안 연구.pdf.pdf
28,옥정호 녹조발생 원인조사 및 대책연구_2026.02.10_옥정호 녹조발생 원인조사 및 대책 연구.pdf.pdf
29,UNESCO 도시 물관리 우수인증제도 시범사업 추진 및 발전방안 연구_2023.02.13_UNESCO 도시 물관리 우수인증제도 시범사업 추진 및 발전방안 연구.pdf.pdf
30,낙동강하구 새섬매자기 종자 발아 연구_2024.02.13_낙동강하구 새섬매자기 종자 발아 연구.pdf.pdf
31,다기능보 수중구조물 안전성 평가를 위한 모니터링 Tool 도입 및 현장실증실험_2024.02.13_다기능보 수중구조물 안전성 평가를 위한 모니터링 Tool 도입 및 현장실증실험.pdf.pdf
32,국가 물수급 분석 고도화를 위한 생공용수 수요패턴 및 하천 물순환 분석기술_2024.02.13_국가 물수급 분석 고도화를 위한 생공용수 수요패턴 및 하천 물순환 분석기술.pdf.pdf
33,낙동강하구 복원을 위한 생지화학적 특성 규명 및 해석 연구_2024.02.13_낙동강하구 복원을 위한 생지화학적 특성 규명 및 해석 연구.pdf.pdf
34,대청댐 상류 오염원 저감 및 물환경 개선방안 연구_2021.02.05_대청댐 상류 오염원 저감.pdf.pdf
35,수질을 고려한 대청댐 운영 고도화 방안 시범 연구_2022.02.14_대청댐 운영고도화.pdf.pdf
36,상수도 디지털 전환의 경제적 가치 산정 연구_2026.02.10_상수도 디지털 전환의 경제적 가치 산정 연구.pdf.pdf
37,수리특성을 고려한 자료기반 인공지능 녹조수질 예측모형 개발_2026.02.10_수리특성을 고려한 인공지능 녹조수질 예측 모형 개발(alio).pdf.pdf
38,__지하수 이용량 산정 영향인자 도출 및 분석 연구.pdf.pdf
39,상수원 알루미늄 증가원인 규명 및 효과적 관리방안 연구_2021.02.05_상수원 알루미늄.pdf.pdf
40,ESS와 HCTTS를 활용한 가압장 무정전 전원공급시스템 구축 연구_2021.02.05_ESS와 HCTTS를 활용한 가압장.pdf.pdf
41,물공급 예비율 활용을 위한 수질영향 분석 연구_2020.02.27_물공급예비율활용.pdf.pdf
42,대심도 수로터널을 통한 新 용수공급체계 도입방안 연구용역_2025.02.10_대심도 수로터널을 통한 新 용수공급체계 도입방안 연구용역.pdf.pdf
43,공간정보 빅데이터를 활용한 가뭄 예·경보 분석기술 개발(2024년)_2025.02.10_공간정보 빅데이터를 활용한 가뭄 예·경보 분석기술 개발(2024년).pdf.pdf
44,기후 스트레스 테스트 기반 댐 취약성 평가 연구_2023.02.13_기후 스트레스 테스트 기반 댐 취약성 평가 연구.pdf.pdf
45,__금강수계 생명잇기를 위한 멸종위기어류 복원 용역(3차년도).pdf.pdf
46,용담댐 유역 비점오염 저감시설 설치 및 관리방안 연구_2020.02.27_용담댐유역비점.pdf.pdf
47,낙동강하구 기수환경 평가를 위한 수환경 조사 연구_2025.02.10_낙동강하구 기수환경 평가를 위한 수환경 조사 연구.pdf.pdf
48,보현산댐 고현천 하천환경조사 및 건강성 제고방안 연구_2021.02.10_보현산댐 고현천 하천환경조사.pdf.pdf
49,K-water 기후위기관리평가체계 구축방안 연구_2023.02.13_K-water 기후위기관리평가체계 구축방안 연구.pdf.pdf
50,비접촉식 하천자동유량측정장치에 대한 유량측정불확도 산정_2025.02.10_비접촉식 하천자동유량측정장치에 대한 유량측정불확도 산정.pdf.pdf
51,용수 수요 특성을 고려한 하·폐수 재이용 최적화 기술 개발_2021.02.08_용수 수요 특성을 고려한 하폐수.pdf.pdf
52,소양강댐 주변지역 사회적 가치 창출방안_2021.02.10_소양강댐 주변지역 사회적가치.pdf.pdf
53,수문설비 진단기술도입 연구_2023.02.13_수문설비 진단기술도입 연구.pdf.pdf
